product_id,seller_id,product_name,category,subcategory,brand,sku,price,description,image_url,is_available,created_at,updated_at
1,1,Samsung Galaxy S24 Ultra,Electronics,Smartphones,Samsung,SAM-S24U-256,109999.00,Latest Samsung flagship with 200MP camera and S-Pen support. 12GB RAM 256GB storage.,https://images.example.com/products/sam-s24u.jpg,1,1704067200,1748736000
2,1,Apple iPhone 15 Pro,Electronics,Smartphones,Apple,APL-IP15P-128,134900.00,Apple iPhone 15 Pro with A17 Pro chip titanium design and 48MP main camera.,https://images.example.com/products/iphone15pro.jpg,1,1704067200,1748736000
3,1,OnePlus 12,Electronics,Smartphones,OnePlus,OP-12-256,64999.00,OnePlus 12 with Snapdragon 8 Gen 3 100W charging and Hasselblad cameras.,https://images.example.com/products/oneplus12.jpg,1,1704153600,1748649600
4,1,Sony WH-1000XM5,Electronics,Headphones,Sony,SONY-WH1000XM5,29990.00,Industry-leading noise cancelling wireless headphones with 30-hour battery life.,https://images.example.com/products/sony-xm5.jpg,1,1704240000,1748563200
5,1,Dell XPS 15 Laptop,Electronics,Laptops,Dell,DELL-XPS15-I7,149999.00,Dell XPS 15 with Intel Core i7 16GB RAM 512GB SSD and 4K OLED display.,https://images.example.com/products/dell-xps15.jpg,1,1704326400,1748476800
6,4,Logitech MX Master 3S,Electronics,Peripherals,Logitech,LOG-MXM3S,9995.00,Advanced wireless mouse with 8K DPI sensor quiet clicks and multi-device support.,https://images.example.com/products/mx-master3s.jpg,1,1704412800,1748390400
7,4,Keychron K2 Keyboard,Electronics,Peripherals,Keychron,KEY-K2-RGB,8999.00,Compact wireless mechanical keyboard with RGB backlight compatible with Mac and Windows.,https://images.example.com/products/keychron-k2.jpg,1,1704499200,1748304000
8,4,Samsung 27-inch 4K Monitor,Electronics,Monitors,Samsung,SAM-LU27B2K,34999.00,27-inch IPS 4K UHD monitor with USB-C 90W power delivery and HDR400.,https://images.example.com/products/samsung-4k-monitor.jpg,1,1704585600,1748217600
9,2,Levi's 511 Slim Fit Jeans,Clothing,Jeans,Levi's,LEV-511-32-32,4999.00,Classic slim fit jeans in stretch denim comfortable for all-day wear.,https://images.example.com/products/levis-511.jpg,1,1704672000,1748131200
10,2,Nike Air Max 270,Clothing,Footwear,Nike,NIKE-AM270-10,12995.00,Nike Air Max 270 running shoes with large air unit for maximum cushioning.,https://images.example.com/products/nike-am270.jpg,1,1704758400,1748044800
11,2,Adidas Ultraboost 22,Clothing,Footwear,Adidas,ADI-UB22-9,15999.00,Adidas Ultraboost 22 with responsive Boost midsole and Primeknit upper.,https://images.example.com/products/adidas-ub22.jpg,1,1704844800,1747958400
12,2,Uniqlo Ultra Light Down Jacket,Clothing,Jackets,Uniqlo,UNI-ULD-M-BK,3999.00,Extremely lightweight packable down jacket that packs into its own pocket.,https://images.example.com/products/uniqlo-down.jpg,1,1704931200,1747872000
13,3,Atomic Habits by James Clear,Books,Self-Help,Penguin Random House,BK-ATOMICHABITS,499.00,Bestselling book on building good habits and breaking bad ones using proven frameworks.,https://images.example.com/products/atomic-habits.jpg,1,1705017600,1747785600
14,3,The Psychology of Money,Books,Finance,Harriman House,BK-PSYCHMONEY,449.00,Timeless lessons on wealth greed and happiness by Morgan Housel.,https://images.example.com/products/psych-money.jpg,1,1705104000,1747699200
15,3,Clean Code by Robert Martin,Books,Technology,Prentice Hall,BK-CLEANCODE,899.00,A handbook of agile software craftsmanship covering principles patterns and practices.,https://images.example.com/products/clean-code.jpg,1,1705190400,1747612800
16,3,Designing Data-Intensive Applications,Books,Technology,O'Reilly Media,BK-DDIA,1299.00,The big ideas behind reliable scalable and maintainable systems by Martin Kleppmann.,https://images.example.com/products/ddia.jpg,1,1705276800,1747526400
17,5,IKEA KALLAX Shelf Unit,Home & Garden,Furniture,IKEA,IKEA-KALLAX-4X2,8999.00,Versatile shelf unit with 8 compartments suitable for storage and display.,https://images.example.com/products/kallax.jpg,1,1705363200,1747440000
18,5,Philips Hue Smart Bulb E27,Home & Garden,Smart Home,Philips,PHI-HUE-E27-WCA,1999.00,Color smart bulb with 16 million colors controllable via app or voice.,https://images.example.com/products/philips-hue.jpg,1,1705449600,1747353600
19,7,Instant Pot Duo 7-in-1,Kitchen,Pressure Cookers,Instant Pot,IP-DUO7-6L,8999.00,7-in-1 electric pressure cooker slow cooker rice cooker and more. 6-litre capacity.,https://images.example.com/products/instant-pot.jpg,1,1705536000,1747267200
20,7,Prestige Svachh Pressure Cooker,Kitchen,Pressure Cookers,Prestige,PRE-SVACHH-5L,2499.00,5-litre aluminium pressure cooker with unique deep lid spill-proof cooking.,https://images.example.com/products/prestige-pc.jpg,1,1705622400,1747180800
21,7,Bosch Hand Blender,Kitchen,Blenders,Bosch,BOSCH-HB-700W,3499.00,700W hand blender with stainless steel blending shaft and splash-guard attachment.,https://images.example.com/products/bosch-blender.jpg,1,1705708800,1747094400
22,6,Nivia Storm Football,Sports,Football,Nivia,NIV-STORM-5,799.00,Official size 5 football with 32-panel design suitable for indoor and outdoor play.,https://images.example.com/products/nivia-football.jpg,1,1705795200,1747008000
23,6,Decathlon Domyos Yoga Mat,Sports,Yoga,Decathlon,DEC-YOGA-6MM,999.00,6mm thick anti-slip yoga mat with carrying strap. Suitable for all yoga styles.,https://images.example.com/products/decathlon-yogamat.jpg,1,1705881600,1746921600
24,6,Cosco Badminton Racket Set,Sports,Badminton,Cosco,COSCO-CB4-SET,1299.00,Set of 4 badminton rackets with 3 shuttlecocks in a carry bag.,https://images.example.com/products/cosco-badminton.jpg,1,1705968000,1746835200
25,8,Fisher-Price Baby Gym,Baby & Kids,Baby Toys,Fisher-Price,FP-BABYGYM-CM,2999.00,Baby play gym with colorful overhead toys for tummy time and developmental play.,https://images.example.com/products/fisherprice-gym.jpg,1,1706054400,1746748800
26,8,Pampers Premium Protection Diapers,Baby & Kids,Diapers,Pampers,PAM-PREMIUM-M-64,999.00,64-count medium size diapers with up to 12 hours of dryness protection.,https://images.example.com/products/pampers-premium.jpg,1,1706140800,1746662400
27,9,Michelin Primacy 4 Tyre 195/65R15,Automotive,Tyres,Michelin,MICH-P4-195-65R15,7500.00,Premium passenger car tyre with excellent wet braking and long tread life.,https://images.example.com/products/michelin-p4.jpg,1,1706227200,1746576000
28,9,Bosch Car Battery 55AH,Automotive,Batteries,Bosch,BOSCH-CAR-55AH,5499.00,55Ah maintenance-free car battery suitable for most mid-size sedans and hatchbacks.,https://images.example.com/products/bosch-battery.jpg,1,1706313600,1746489600
29,10,Organic Turmeric Powder 500g,Grocery,Spices,24 Mantra Organic,24M-TURMERIC-500,249.00,100% organic turmeric powder with no additives or preservatives. USDA certified.,https://images.example.com/products/turmeric.jpg,1,1706400000,1746403200
30,10,Tata Tea Gold 500g,Grocery,Tea & Coffee,Tata Consumer Products,TATA-GOLD-500,295.00,Premium blend of Assam and Darjeeling teas for a rich aromatic cup.,https://images.example.com/products/tata-tea.jpg,1,1706486400,1746316800
31,1,boAt Rockerz 550 Headphones,Electronics,Headphones,boAt,BOAT-R550-BK,2499.00,Over-ear wireless headphones with 20-hour battery and 40mm dynamic drivers.,https://images.example.com/products/boat-r550.jpg,1,1706572800,1746230400
32,2,Fabindia Cotton Kurta,Clothing,Ethnic Wear,Fabindia,FAB-KURTA-M-WH,1799.00,Men's cotton kurta with subtle hand-block print. Perfect for festive occasions.,https://images.example.com/products/fabindia-kurta.jpg,1,1706659200,1746144000
33,5,Cello Plastic Stool Set of 2,Home & Garden,Furniture,Cello,CEL-STOOL-2PK,699.00,Set of 2 sturdy plastic stools ideal for kitchen bathroom or outdoor use.,https://images.example.com/products/cello-stool.jpg,1,1706745600,1746057600
34,7,Milton Thermosteel Flask 500ml,Kitchen,Flasks,Milton,MIL-THERMO-500,699.00,Stainless steel vacuum flask keeps beverages hot for 24 hours or cold for 12 hours.,https://images.example.com/products/milton-flask.jpg,1,1706832000,1745971200
35,6,Cosco Football Pump,Sports,Accessories,Cosco,COSCO-PUMP-STD,349.00,Dual-action ball pump with pressure gauge compatible with all standard valves.,https://images.example.com/products/cosco-pump.jpg,0,1706918400,1745884800
